Accesorios
"HP 106A Black Original Laser Toner Cartridge"
"HP Laser Professional Business Paper – A4, Glossy, 200gsm"
"HP Office Paper-2500 sht/A4/210 x 297 mm"
"HP Laser Everyday Business Paper – A4, glossy, 120gsm"
